time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,,avg_bid_order_size,avg_ask_order_size,,bid_vwap,Bid Vwap change,ask_vwap,ask vwap change,bid_50pct_level,ask_50pct_level,order ratio,OIMBR,Bids Avg value,Ask avg value,ratio
15:21:54,49543,NIFTY DEC 2025 FUT,25959.6,25960.1,0.5,112575,106275,450,519,1.0593,0%,250.17,204.77,1.221712165,25930.68,0%,25988.91,0%,114,93,0.867052023,1.221726,291.9146301,276.197141,1.056906777
15:21:55,49543,NIFTY DEC 2025 FUT,25959.6,25960.1,0.5,112650,105600,451,517,1.0668,1%,249.78,204.26,1.222853226,25930.7,0%,25989.06,1%,114,97,0.872340426,1.222917073,292.1093355,274.4444736,1.064365887
15:21:55,49543,NIFTY DEC 2025 FUT,25959.6,25960.1,0.5,112200,105600,449,517,1.0625,0%,249.89,204.26,1.223391756,25930.65,0%,25989.06,0%,115,97,0.868471954,1.22341314,290.941893,274.4444736,1.060112048
15:21:55,49543,NIFTY DEC 2025 FUT,25959.6,25960.1,0.5,112650,105600,451,517,1.0668,0%,249.78,204.26,1.222853226,25930.7,0%,25989.06,0%,114,97,0.872340426,1.222917073,292.1093355,274.4444736,1.064365887
15:21:55,49543,NIFTY DEC 2025 FUT,25961,25961.1,0.1,110250,107325,433,518,1.0273,-4%,254.62,207.19,1.228920315,25930.15,-2%,25989.77,3%,118,100,0.835907336,1.228963972,285.8799038,278.9352065,1.02489717
15:21:55,49543,NIFTY DEC 2025 FUT,25961,25961.1,0.1,109350,106950,428,515,1.0224,0%,255.49,207.67,1.230269177,25930,-1%,25989.86,0%,119,100,0.831067961,1.230224299,283.54455,277.9615527,1.020085502
15:21:56,49543,NIFTY DEC 2025 FUT,25960.9,25961.1,0.2,109125,105300,426,514,1.0363,1%,256.16,204.86,1.250414918,25929.94,0%,25989.12,-3%,119,96,0.828793774,1.250371362,282.9604703,273.6654336,1.033964964
15:21:56,49543,NIFTY DEC 2025 FUT,25960.9,25961.1,0.2,109200,105300,427,514,1.037,0%,255.74,204.86,1.248364737,25929.91,0%,25989.12,0%,118,96,0.8307393,1.248285714,283.1546172,273.6654336,1.034674396
15:21:56,49543,NIFTY DEC 2025 FUT,25959.6,25960.9,1.3,109275,105000,427,512,1.0407,0%,255.91,205.08,1.247854496,25929.7,-1%,25989.19,0%,115,96,0.833984375,1.247865105,283.3467968,272.886495,1.038332061
15:21:56,49543,NIFTY DEC 2025 FUT,25959.6,25960.9,1.3,109500,105000,430,512,1.0429,0%,254.65,205.08,1.241710552,25929.76,0%,25989.24,0%,115,95,0.83984375,1.241778605,283.930872,272.88702,1.040470419
